Gene	CTL_7	CTL_9	SLE_13	SLE_14	sh7278_1	sh7278_2	shNC_1	shNC_2	Symbol	Chr	GeneType	Description
ENSG00000070950.9	1.58	1.11	0.7	1.95	6.46	9.03	7.61	8.19	RAD18	chr3	protein_coding	RAD18 E3 ubiquitin protein ligase
ENSG00000006016.10	0.02	0.0	0.0	0.0	0.8	0.78	0.4	0.61	CRLF1	chr19	protein_coding	cytokine receptor-like factor 1
ENSG00000260803.1	0.33	0.25	0.37	0.35	0.32	0.28	0.22	0.19	Z84812.4	chr16	processed_transcript	--
ENSG00000200278.1	0.0	0.0	0.0	0.2	0.15	0.15	0.16	0.43	RNA5SP352	chr11	rRNA	RNA, 5S ribosomal pseudogene 352
ENSG00000178096.8	4.04	3.64	2.13	2.55	28.0	26.08	23.94	24.72	BOLA1	chr1	protein_coding	bolA family member 1
ENSG00000198898.12	9.81	4.45	9.17	17.62	9.67	13.98	9.43	11.78	CAPZA2	chr7	protein_coding	capping protein (actin filament) muscle Z-line, alpha 2
ENSG00000278272.1	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	HIST1H3C	chr6	protein_coding	histone cluster 1, H3c
ENSG00000276747.1	0.03	0.31	0.07	0.09	0.0	0.0	0.0	0.0	PADI6	chr1	protein_coding	peptidyl arginine deiminase, type VI
ENSG00000188636.3	3.17	1.55	0.66	2.97	25.0	22.11	26.63	24.15	LDOC1L	chr22	protein_coding	leucine zipper, down-regulated in cancer 1-like
ENSG00000259205.2	0.52	0.14	0.15	0.83	1.09	1.65	1.15	0.95	PRKXP1	chr15	processed_pseudogene	protein kinase, X-linked, pseudogene 1
ENSG00000107902.13	13.51	17.38	6.04	11.39	9.53	8.44	8.9	8.87	LHPP	chr10	protein_coding	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
ENSG00000254469.7	0.43	0.32	0.31	0.48	0.58	0.82	0.69	0.72	RP11-849H4.2	chr11	protein_coding	--
ENSG00000137078.8	16.41	17.6	6.96	22.35	59.49	55.54	49.49	52.6	SIT1	chr9	protein_coding	signaling threshold regulating transmembrane adaptor 1
ENSG00000183208.12	0.59	0.62	0.29	0.42	1.45	1.14	1.38	1.29	GDPGP1	chr15	protein_coding	GDP-D-glucose phosphorylase 1
ENSG00000111196.9	2.78	1.81	1.03	3.67	13.86	17.6	12.28	16.06	MAGOHB	chr12	protein_coding	mago-nashi homolog B (Drosophila)
ENSG00000171487.14	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	NLRP5	chr19	protein_coding	NLR family, pyrin domain containing 5
ENSG00000260625.2	0.83	0.41	0.37	0.21	0.35	0.69	0.19	0.22	RP11-452L6.7	chr16	antisense	--
ENSG00000264546.1	0.34	0.48	1.1	0.42	0.07	0.07	0.1	0.02	RP11-464D20.6	chr17	sense_intronic	--
ENSG00000240521.1	0.03	0.03	0.14	0.0	0.01	0.0	0.03	0.0	RP11-680B3.2	chr3	antisense	--
ENSG00000163481.7	6.42	7.09	6.99	5.17	14.32	12.31	12.17	11.85	RNF25	chr2	protein_coding	ring finger protein 25
ENSG00000257359.1	0.0	0.0	0.0	0.0	0.58	0.38	0.33	0.3	RP11-780K2.1	chr12	antisense	--
ENSG00000087077.11	3.29	3.14	4.09	4.63	0.25	0.52	0.3	0.45	TRIP6	chr7	protein_coding	thyroid hormone receptor interactor 6
ENSG00000164530.13	1.74	2.58	0.72	4.42	6.04	5.61	5.75	5.16	PI16	chr6	protein_coding	peptidase inhibitor 16
ENSG00000160785.13	6.31	6.13	14.0	8.2	9.64	8.91	10.32	9.21	SLC25A44	chr1	protein_coding	solute carrier family 25, member 44
ENSG00000234592.1	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	RP11-41L14.1	chrX	processed_pseudogene	--
ENSG00000115165.9	54.26	34.94	68.44	85.01	0.38	0.44	0.42	0.63	CYTIP	chr2	protein_coding	cytohesin 1 interacting protein
ENSG00000276696.1	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	Y_RNA	chr15	misc_RNA	--
ENSG00000104549.11	2.48	1.16	0.38	3.36	45.03	49.99	46.6	49.14	SQLE	chr8	protein_coding	squalene epoxidase
ENSG00000229628.1	0.55	0.51	0.0	0.05	0.31	0.26	0.27	0.27	AC073115.7	chr7	lincRNA	--
ENSG00000273674.4	0.06	0.11	0.14	0.02	0.07	0.1	0.05	0.1	CTD-2378E12.1	chr15	lincRNA	--
ENSG00000183607.9	0.0	0.0	0.05	0.0	0.01	0.0	0.0	0.02	GKN2	chr2	protein_coding	gastrokine 2
ENSG00000255201.1	0.0	0.0	0.0	0.0	0.31	0.11	0.16	0.16	RP11-350N15.4	chr8	antisense	--
ENSG00000155428.12	0.39	0.55	0.25	0.09	0.31	0.17	0.16	0.08	TRIM74	chr7	protein_coding	tripartite motif containing 74
ENSG00000277721.1	0.14	0.46	0.0	0.11	0.0	0.0	0.0	0.0	Metazoa_SRP	chrX	misc_RNA	--
ENSG00000275858.1	0.0	0.0	0.0	0.0	0.06	0.18	0.06	0.0	RP11-291L22.8	chr10	processed_pseudogene	--
ENSG00000147324.10	5.72	4.21	0.92	3.2	13.54	13.92	16.03	14.58	MFHAS1	chr8	protein_coding	malignant fibrous histiocytoma amplified sequence 1
ENSG00000204469.12	21.78	17.79	21.95	21.4	36.04	29.38	39.26	31.68	PRRC2A	chr6	protein_coding	proline-rich coiled-coil 2A
ENSG00000180279.5	0.47	0.17	0.04	0.09	0.15	0.13	0.07	0.09	MGC45922	chr19	lincRNA	--
ENSG00000205057.4	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	CLLU1OS	chr12	protein_coding	chronic lymphocytic leukemia up-regulated 1 opposite strand
ENSG00000172264.16	0.48	0.42	0.47	0.4	0.02	0.01	0.02	0.03	MACROD2	chr20	protein_coding	MACRO domain containing 2
ENSG00000102053.12	0.2	0.13	0.01	0.03	0.58	0.56	0.63	0.51	ZC3H12B	chrX	protein_coding	zinc finger CCCH-type containing 12B
ENSG00000185129.5	2.0	3.19	1.08	1.07	2.65	3.13	3.41	3.32	PURA	chr5	protein_coding	purine-rich element binding protein A
ENSG00000231888.1	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	MTND5P15	chr3	processed_pseudogene	MT-ND5 pseudogene 15
ENSG00000260345.1	0.49	0.26	0.41	0.73	10.89	10.51	11.07	10.1	AC009052.12	chr16	processed_transcript	--
ENSG00000229313.1	0.0	0.0	0.0	0.0	0.07	0.0	0.04	0.05	RP3-425P12.5	chr6	antisense	--
ENSG00000166401.13	6.2	2.25	4.44	7.3	11.76	14.24	12.36	13.52	SERPINB8	chr18	protein_coding	serpin peptidase inhibitor, clade B (ovalbumin), member 8
ENSG00000279474.1	0.27	0.29	0.21	0.37	0.01	0.04	0.01	0.01	CTD-2286N8.1	chr18	TEC	--
ENSG00000205212.3	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	CCDC144NL	chr17	protein_coding	coiled-coil domain containing 144 family, N-terminal like
ENSG00000135960.9	1.24	0.45	0.16	0.22	0.0	0.0	0.0	0.0	EDAR	chr2	protein_coding	ectodysplasin A receptor
ENSG00000129103.17	38.38	39.91	17.13	28.51	54.44	48.38	53.95	54.8	SUMF2	chr7	protein_coding	sulfatase modifying factor 2
ENSG00000169679.14	0.21	0.06	0.18	3.06	27.22	35.71	30.09	34.39	BUB1	chr2	protein_coding	BUB1 mitotic checkpoint serine/threonine kinase
ENSG00000272034.1	21.13	15.71	4.48	9.6	1.82	3.46	2.75	3.15	SNORD14A	chr11	snoRNA	small nucleolar RNA, C/D box 14A
ENSG00000008710.17	2.84	2.93	1.22	1.53	4.81	4.11	5.25	4.35	PKD1	chr16	protein_coding	polycystic kidney disease 1 (autosomal dominant)
ENSG00000276489.1	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	MIR6829	chr3	miRNA	microRNA 6829
ENSG00000206924.1	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	RNU6-689P	chr14	snRNA	RNA, U6 small nuclear 689, pseudogene
ENSG00000231054.1	0.0	0.0	0.0	0.0	0.07	0.04	0.08	0.05	AC009236.2	chr2	lincRNA	--
ENSG00000179091.4	49.52	60.01	54.1	61.3	129.56	121.36	110.2	122.77	CYC1	chr8	protein_coding	cytochrome c-1
ENSG00000256071.1	0.0	0.0	0.0	0.0	0.34	1.01	0.23	0.78	RP11-465L8.1	chr12	antisense	--
ENSG00000148248.13	31.14	20.39	17.5	38.93	86.76	77.87	82.18	83.16	SURF4	chr9	protein_coding	surfeit 4
ENSG00000281593.1	0.22	0.17	0.06	0.21	0.0	0.03	0.0	0.0	GS1-114I9.3	chr7	protein_coding	--
ENSG00000221869.4	32.41	45.7	182.18	77.66	0.29	0.4	0.23	0.21	CEBPD	chr8	protein_coding	CCAAT/enhancer binding protein (C/EBP), delta
ENSG00000211751.7	232.33	199.05	26.85	120.06	437.17	372.51	423.2	398.94	TRBV25-1	chr7	TR_C_gene	T cell receptor beta variable 25-1
ENSG00000228643.1	0.09	0.0	0.0	0.0	0.21	0.25	0.32	0.29	AC079779.4	chr2	processed_transcript	--
ENSG00000239961.2	4.61	4.57	0.15	0.22	0.01	0.0	0.01	0.0	LILRA4	chr19	protein_coding	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4
ENSG00000131845.14	0.94	0.34	0.16	1.24	4.2	4.86	4.98	5.06	ZNF304	chr19	protein_coding	zinc finger protein 304
ENSG00000227972.1	0.0	0.0	0.02	0.0	0.01	0.02	0.03	0.01	PRKRIRP3	chr10	processed_pseudogene	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) pseudogene 3
ENSG00000166173.10	0.01	0.04	0.03	0.01	1.31	1.33	1.22	1.27	LARP6	chr15	protein_coding	La ribonucleoprotein domain family, member 6
ENSG00000214160.9	10.41	14.59	9.74	10.04	27.71	24.26	27.4	25.35	ALG3	chr3	protein_coding	ALG3, alpha-1,3- mannosyltransferase
ENSG00000254565.1	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	MTND2P26	chr11	processed_pseudogene	MT-ND2 pseudogene 26
ENSG00000281551.1	0.0	0.0	0.52	0.35	0.27	0.0	0.0	0.0	snoMe28S-Am2634	chr2	snoRNA	--
ENSG00000273155.1	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	RP11-38C17.1	chr2	protein_coding	--
ENSG00000228779.1	0.05	0.05	0.0	0.03	0.0	0.0	0.0	0.0	Z69666.2	chr16	antisense	--
ENSG00000214788.2	0.0	0.12	0.0	0.02	0.03	0.03	0.0	0.02	OOSP1	chr11	unitary_pseudogene	oocyte secreted protein 1, pseudogene
ENSG00000234806.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.07	RP11-9E13.4	chr10	processed_pseudogene	--
ENSG00000234504.2	0.03	0.0	0.0	0.02	0.0	0.0	0.0	0.0	RP11-285G1.2	chr10	antisense	--
ENSG00000153044.9	3.21	1.97	1.44	8.77	30.73	39.11	29.59	33.85	CENPH	chr5	protein_coding	centromere protein H
ENSG00000196933.5	0.21	0.11	0.0	0.08	0.0	0.11	0.06	0.0	RPS26P11	chrX	processed_pseudogene	ribosomal protein S26 pseudogene 11
ENSG00000179163.11	8.04	4.89	2.99	10.06	6.55	6.71	6.79	6.3	FUCA1	chr1	protein_coding	fucosidase, alpha-L- 1, tissue
ENSG00000259239.1	0.05	0.0	0.03	0.0	0.0	0.0	0.0	0.0	RP11-521C20.1	chr15	processed_pseudogene	--
ENSG00000177138.15	0.04	0.14	0.07	0.07	0.03	0.03	0.02	0.0	FAM9B	chrX	protein_coding	family with sequence similarity 9, member B
ENSG00000183378.11	0.0	0.02	0.02	0.0	0.01	0.0	0.0	0.0	OVCH2	chr11	protein_coding	ovochymase 2 (gene/pseudogene)
ENSG00000213412.3	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HNRNPA1P33	chr10	processed_pseudogene	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33
ENSG00000177294.6	0.0	0.0	0.02	0.11	0.05	0.08	0.06	0.07	FBXO39	chr17	protein_coding	F-box protein 39
ENSG00000257270.1	0.0	0.26	0.09	0.0	3.48	2.83	3.52	2.38	RP11-521B24.5	chr14	antisense	--
ENSG00000111667.13	13.96	14.33	5.76	13.45	32.57	26.47	31.53	29.58	USP5	chr12	protein_coding	ubiquitin specific peptidase 5 (isopeptidase T)
ENSG00000117411.16	0.88	1.1	0.83	1.7	7.87	6.55	7.0	7.2	B4GALT2	chr1	protein_coding	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
ENSG00000278919.1	0.53	0.94	0.38	0.1	0.01	0.0	0.01	0.0	AP006285.2	chr11	protein_coding	--
ENSG00000164715.5	1.99	1.21	2.62	3.77	3.52	3.54	4.22	3.91	LMTK2	chr7	protein_coding	lemur tyrosine kinase 2
ENSG00000261045.2	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	RP11-673P17.4	chr16	lincRNA	--
ENSG00000264007.1	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	RP11-68I3.10	chr17	sense_intronic	--
ENSG00000261399.1	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	LA16c-329F2.1	chr16	antisense	--
ENSG00000166743.9	0.22	0.23	0.15	0.27	0.01	0.0	0.0	0.0	ACSM1	chr16	protein_coding	acyl-CoA synthetase medium-chain family member 1
ENSG00000165671.18	4.94	3.36	3.37	5.68	5.65	5.9	6.93	6.5	NSD1	chr5	protein_coding	nuclear receptor binding SET domain protein 1
ENSG00000186184.15	20.04	24.69	11.76	22.47	24.12	23.93	24.95	24.74	POLR1D	chr13	protein_coding	polymerase (RNA) I polypeptide D, 16kDa
ENSG00000254064.1	0.0	0.0	0.0	0.0	0.04	0.11	0.04	0.06	CTD-2530N21.4	chr8	antisense	--
ENSG00000158773.14	36.57	39.37	47.32	39.55	36.51	34.33	34.7	34.89	USF1	chr1	protein_coding	upstream transcription factor 1
ENSG00000275727.1	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	AC092375.1	chr16	miRNA	--
ENSG00000257831.1	0.0	0.04	0.0	0.03	0.04	0.06	0.0	0.0	RP11-596D21.1	chr14	antisense	--
ENSG00000177614.9	0.03	0.03	0.02	0.02	0.47	0.38	0.47	0.41	PGBD5	chr1	protein_coding	piggyBac transposable element derived 5
ENSG00000080561.13	0.33	0.36	0.04	0.04	0.0	0.0	0.01	0.0	MID2	chrX	protein_coding	midline 2
ENSG00000279071.1	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.0	RP11-83B20.3	chr12	TEC	--
ENSG00000263986.1	0.07	0.08	0.0	0.0	4.55	2.66	2.77	3.07	RP11-746M1.1	chr17	antisense	--
ENSG00000275410.4	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	HNF1B	chr17	protein_coding	HNF1 homeobox B
ENSG00000175745.11	0.0	0.0	0.01	0.0	0.15	0.16	0.22	0.24	NR2F1	chr5	protein_coding	nuclear receptor subfamily 2, group F, member 1
ENSG00000196826.7	0.05	0.02	0.0	0.02	0.08	0.06	0.06	0.09	CTD-2192J16.17	chr19	protein_coding	--
ENSG00000200345.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	RNU6-485P	chr12	snRNA	RNA, U6 small nuclear 485, pseudogene
ENSG00000230772.1	0.04	0.0	0.05	0.0	0.12	0.43	0.2	0.14	VN1R108P	chr20	unprocessed_pseudogene	vomeronasal 1 receptor 108 pseudogene
ENSG00000236274.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	RP4-728D4.3	chr1	processed_pseudogene	--
ENSG00000260619.1	0.01	0.03	0.0	0.02	0.02	0.01	0.0	0.01	RP11-775C24.3	chr15	lincRNA	--
ENSG00000135636.13	2.89	4.91	55.58	26.04	0.87	0.85	1.05	0.91	DYSF	chr2	protein_coding	dysferlin
ENSG00000271717.1	0.63	0.44	0.47	0.16	0.0	0.0	0.06	0.33	CTD-3020H12.4	chr19	antisense	--
ENSG00000127554.12	8.72	11.96	5.54	6.87	17.28	17.26	17.43	17.92	GFER	chr16	protein_coding	growth factor, augmenter of liver regeneration
ENSG00000273036.2	1.16	0.88	1.62	1.1	1.09	1.24	0.96	0.98	FAM95C	chr9	lincRNA	family with sequence similarity 95, member C
ENSG00000138172.10	17.02	12.09	8.77	10.33	0.08	0.08	0.05	0.06	CALHM2	chr10	protein_coding	calcium homeostasis modulator 2
ENSG00000165533.18	0.31	0.15	0.27	0.31	2.06	2.5	2.09	2.33	TTC8	chr14	protein_coding	tetratricopeptide repeat domain 8
ENSG00000166803.10	0.96	1.28	3.25	13.05	62.48	72.76	58.03	68.56	KIAA0101	chr15	protein_coding	KIAA0101
ENSG00000159182.4	0.0	0.0	0.0	0.0	0.0	0.15	0.05	0.07	PRAC1	chr17	protein_coding	prostate cancer susceptibility candidate 1
ENSG00000234769.7	0.84	0.9	0.52	0.39	0.96	0.84	0.69	0.83	WASH4P	chr16	unprocessed_pseudogene	WAS protein family homolog 4 pseudogene
ENSG00000179930.5	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.01	ZNF648	chr1	protein_coding	zinc finger protein 648
ENSG00000251435.1	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	C1GALT1P2	chr5	processed_pseudogene	ore 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 pseudogene 2
ENSG00000186998.15	0.42	0.31	0.09	0.14	6.01	5.39	5.34	5.8	EMID1	chr22	protein_coding	EMI domain containing 1
ENSG00000168405.14	2.46	0.48	0.27	2.23	9.51	12.55	11.29	12.33	CMAHP	chr6	unitary_pseudogene	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene
ENSG00000148356.13	4.45	6.88	6.07	3.76	5.03	4.21	4.56	4.19	LRSAM1	chr9	protein_coding	leucine rich repeat and sterile alpha motif containing 1
ENSG00000202198.1	101.03	80.54	51.29	66.67	4.87	4.23	5.55	3.72	RN7SK	chr6	misc_RNA	RNA, 7SK small nuclear
