Gene	CTL_7	CTL_9	SLE_13	SLE_14	sh7278_1	sh7278_2	shNC_1	shNC_2	Symbol	Chr	GeneType	Description
ENSG00000173976.15	3	1	7	0	1	0	0	0	RAX2	chr19	protein_coding	retina and anterior neural fold homeobox 2
ENSG00000123405.13	637	1042	5085	2077	98	73	94	63	NFE2	chr12	protein_coding	nuclear factor, erythroid 2
ENSG00000094880.10	397	179	112	714	2746	3089	2678	2143	CDC23	chr5	protein_coding	cell division cycle 23
ENSG00000174175.16	145	130	125	91	26	20	21	17	SELP	chr1	protein_coding	selectin P (granule membrane protein 140kDa, antigen CD62)
ENSG00000106624.8	314	280	171	100	9409	8112	9720	5745	AEBP1	chr7	protein_coding	AE binding protein 1
ENSG00000273712.1	0	0	0	0	1	0	0	0	RP5-874C20.7	chr6	processed_pseudogene	--
ENSG00000259813.1	4	5	8	7	26	23	13	10	RP5-1142A6.5	chr16	antisense	--
ENSG00000197467.13	5	7	13	0	3	0	0	1	COL13A1	chr10	protein_coding	collagen, type XIII, alpha 1
ENSG00000163626.16	453	259	166	435	1404	1601	1511	1151	COX18	chr4	protein_coding	COX18 cytochrome c oxidase assembly factor
ENSG00000111775.2	2522	2485	2935	4624	17426	17030	15389	11454	COX6A1	chr12	protein_coding	cytochrome c oxidase subunit VIa polypeptide 1
ENSG00000270689.1	0	0	0	0	5	6	4	4	BUD13P1	chr11	processed_pseudogene	BUD13 homolog (S. cerevisiae) pseudogene 1
ENSG00000265675.2	4	15	5	0	0	0	0	0	RN7SL708P	chr19	misc_RNA	RNA, 7SL, cytoplasmic 708, pseudogene
ENSG00000248787.1	1	9	2	3	1	4	1	1	RP11-666A20.4	chr3	lincRNA	--
ENSG00000171962.17	3	6	3	2	16	13	14	3	LRRC48	chr17	protein_coding	leucine rich repeat containing 48
ENSG00000259318.1	3	0	0	4	3	3	4	3	RP11-454L9.2	chr14	processed_pseudogene	--
ENSG00000133106.14	1128	393	1200	7644	178	240	186	176	EPSTI1	chr13	protein_coding	epithelial stromal interaction 1 (breast)
ENSG00000243081.2	2	2	2	2	0	1	0	0	RP11-231E6.1	chr3	lincRNA	--
ENSG00000168874.12	14	46	38	7	2	2	4	2	ATOH8	chr2	protein_coding	atonal homolog 8 (Drosophila)
ENSG00000255428.1	6	4	3	3	5	4	2	5	RP11-794P6.1	chr11	sense_intronic	--
ENSG00000131323.14	795	456	308	1255	5382	5818	5833	4042	TRAF3	chr14	protein_coding	TNF receptor-associated factor 3
ENSG00000271774.1	0	1	0	0	0	0	0	0	RP4-678D15.1	chr20	antisense	--
ENSG00000279713.1	0	0	0	0	7	7	3	4	CTD-3035K23.3	chr17	TEC	--
ENSG00000105993.14	2391	1141	1413	3964	4263	5105	4158	3203	DNAJB6	chr7	protein_coding	DnaJ (Hsp40) homolog, subfamily B, member 6
ENSG00000112195.8	72	41	959	377	555	446	677	396	TREML2	chr6	protein_coding	triggering receptor expressed on myeloid cells-like 2
ENSG00000107959.15	1069	840	460	1386	2789	2552	2869	1915	PITRM1	chr10	protein_coding	pitrilysin metallopeptidase 1
ENSG00000227678.7	126	63	4	76	5	4	1	1	RP11-73O6.3	chr6	antisense	--
ENSG00000254618.1	0	0	0	0	2	2	0	2	TMED10P1	chr8	processed_pseudogene	transmembrane emp24-like trafficking protein 10 (yeast) pseudogene 1
ENSG00000268975.1	555	547	527	723	594	535	558	395	MIA-RAB4B	chr19	protein_coding	MIA-RAB4B readthrough (NMD candidate)
ENSG00000237886.1	50	53	85	46	31	13	21	5	LINC01573	chr9	antisense	long intergenic non-protein coding RNA 1573
ENSG00000184459.8	0	2	0	1	0	0	0	0	BPIFC	chr22	protein_coding	BPI fold containing family C
ENSG00000025293.15	1416	1741	1113	1242	2444	2773	2652	1938	PHF20	chr20	protein_coding	PHD finger protein 20
ENSG00000105229.6	536	529	691	766	2161	1753	1988	1331	PIAS4	chr19	protein_coding	protein inhibitor of activated STAT, 4
ENSG00000070950.9	257	169	101	421	1839	2697	2146	1681	RAD18	chr3	protein_coding	RAD18 E3 ubiquitin protein ligase
ENSG00000006016.10	1	0	0	0	69	71	34	38	CRLF1	chr19	protein_coding	cytokine receptor-like factor 1
ENSG00000260803.1	7	5	7	10	12	11	8	5	Z84812.4	chr16	processed_transcript	--
ENSG00000200278.1	0	0	0	1	1	1	1	2	RNA5SP352	chr11	rRNA	RNA, 5S ribosomal pseudogene 352
ENSG00000178096.8	162	137	76	136	1971	1926	1669	1255	BOLA1	chr1	protein_coding	bolA family member 1
ENSG00000198898.12	1517	646	1261	3619	2625	3981	2535	2305	CAPZA2	chr7	protein_coding	capping protein (actin filament) muscle Z-line, alpha 2
ENSG00000278272.1	0	0	0	11	0	0	0	0	HIST1H3C	chr6	protein_coding	histone cluster 1, H3c
ENSG00000276747.1	2	19	4	8	0	0	0	0	PADI6	chr1	protein_coding	peptidyl arginine deiminase, type VI
ENSG00000188636.3	480	221	89	597	6645	6165	7011	4630	LDOC1L	chr22	protein_coding	leucine zipper, down-regulated in cancer 1-like
ENSG00000259205.2	16	4	4	34	59	94	62	37	PRKXP1	chr15	processed_pseudogene	protein kinase, X-linked, pseudogene 1
ENSG00000107902.13	674	814	268	755	834	775	772	560	LHPP	chr10	protein_coding	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
ENSG00000254469.7	27	19	17	40	64	95	75	57	RP11-849H4.2	chr11	protein_coding	--
ENSG00000137078.8	600	604	226	1085	3816	3738	3144	2433	SIT1	chr9	protein_coding	signaling threshold regulating transmembrane adaptor 1
ENSG00000183208.12	87	85	38	82	374	309	352	241	GDPGP1	chr15	protein_coding	GDP-D-glucose phosphorylase 1
ENSG00000111196.9	213	130	70	373	1861	2479	1633	1555	MAGOHB	chr12	protein_coding	mago-nashi homolog B (Drosophila)
ENSG00000171487.14	0	0	0	0	0	0	2	0	NLRP5	chr19	protein_coding	NLR family, pyrin domain containing 5
ENSG00000260625.2	15	7	6	5	11	23	6	5	RP11-452L6.7	chr16	antisense	--
ENSG00000264546.1	16	21	46	26	6	6	8	1	RP11-464D20.6	chr17	sense_intronic	--
ENSG00000240521.1	1	1	5	0	1	0	2	0	RP11-680B3.2	chr3	antisense	--
ENSG00000163481.7	339	351	328	362	1326	1196	1116	791	RNF25	chr2	protein_coding	ring finger protein 25
ENSG00000257359.1	0	0	0	0	16	11	9	6	RP11-780K2.1	chr12	antisense	--
ENSG00000087077.11	191	171	211	357	25	56	30	33	TRIP6	chr7	protein_coding	thyroid hormone receptor interactor 6
ENSG00000164530.13	112	156	41	377	681	664	642	420	PI16	chr6	protein_coding	peptidase inhibitor 16
ENSG00000160785.13	637	581	1257	1100	1708	1657	1811	1177	SLC25A44	chr1	protein_coding	solute carrier family 25, member 44
ENSG00000234592.1	0	0	0	0	1	0	0	0	RP11-41L14.1	chrX	processed_pseudogene	--
ENSG00000115165.9	3381	2044	3790	7034	42	51	46	50	CYTIP	chr2	protein_coding	cytohesin 1 interacting protein
ENSG00000276696.1	0	0	0	0	0	0	1	0	Y_RNA	chr15	misc_RNA	--
ENSG00000104549.11	203	89	28	365	6469	7536	6631	5091	SQLE	chr8	protein_coding	squalene epoxidase
ENSG00000229628.1	8	7	0	1	8	7	7	5	AC073115.7	chr7	lincRNA	--
ENSG00000273674.4	4	7	8	2	8	12	6	8	CTD-2378E12.1	chr15	lincRNA	--
ENSG00000183607.9	0	0	2	0	1	0	0	1	GKN2	chr2	protein_coding	gastrokine 2
ENSG00000255201.1	0	0	0	0	8	3	4	3	RP11-350N15.4	chr8	antisense	--
ENSG00000155428.12	16	21	9	5	22	13	11	4	TRIM74	chr7	protein_coding	tripartite motif containing 74
ENSG00000277721.1	1	3	0	1	0	0	0	0	Metazoa_SRP	chrX	misc_RNA	--
ENSG00000275858.1	0	0	0	0	1	3	1	0	RP11-291L22.8	chr10	processed_pseudogene	--
ENSG00000147324.10	1011	699	144	751	4200	4531	4925	3262	MFHAS1	chr8	protein_coding	malignant fibrous histiocytoma amplified sequence 1
ENSG00000204469.12	4142	3176	3710	5404	12025	10285	12975	7623	PRRC2A	chr6	protein_coding	proline-rich coiled-coil 2A
ENSG00000180279.5	12	4	1	3	7	6	3	3	MGC45922	chr19	lincRNA	--
ENSG00000205057.4	0	0	1	0	0	0	0	0	CLLU1OS	chr12	protein_coding	chronic lymphocytic leukemia up-regulated 1 opposite strand
ENSG00000172264.16	72	59	63	80	6	4	4	6	MACROD2	chr20	protein_coding	MACRO domain containing 2
ENSG00000102053.12	41	25	2	9	202	207	218	130	ZC3H12B	chrX	protein_coding	zinc finger CCCH-type containing 12B
ENSG00000185129.5	635	948	305	449	1476	1827	1876	1330	PURA	chr5	protein_coding	purine-rich element binding protein A
ENSG00000231888.1	0	0	0	0	0	2	0	0	MTND5P15	chr3	processed_pseudogene	MT-ND5 pseudogene 15
ENSG00000260345.1	4	2	3	8	157	159	158	105	AC009052.12	chr16	processed_transcript	--
ENSG00000229313.1	0	0	0	0	2	0	1	1	RP3-425P12.5	chr6	antisense	--
ENSG00000166401.13	665	227	423	1039	2212	2811	2304	1835	SERPINB8	chr18	protein_coding	serpin peptidase inhibitor, clade B (ovalbumin), member 8
ENSG00000279474.1	16	16	11	29	1	4	1	1	CTD-2286N8.1	chr18	TEC	--
ENSG00000205212.3	1	0	0	0	1	0	0	0	CCDC144NL	chr17	protein_coding	coiled-coil domain containing 144 family, N-terminal like
ENSG00000135960.9	151	52	17	35	0	0	0	0	EDAR	chr2	protein_coding	ectodysplasin A receptor
ENSG00000129103.17	2531	2471	1004	2497	6299	5873	6183	4573	SUMF2	chr7	protein_coding	sulfatase modifying factor 2
ENSG00000169679.14	21	6	16	408	4796	6602	5252	4371	BUB1	chr2	protein_coding	BUB1 mitotic checkpoint serine/threonine kinase
ENSG00000272034.1	53	37	10	32	8	16	12	10	SNORD14A	chr11	snoRNA	small nucleolar RNA, C/D box 14A
ENSG00000008710.17	1107	1072	421	790	3290	2951	3553	2144	PKD1	chr16	protein_coding	polycystic kidney disease 1 (autosomal dominant)
ENSG00000276489.1	0	1	0	0	0	0	0	0	MIR6829	chr3	miRNA	microRNA 6829
ENSG00000206924.1	0	0	1	0	0	0	0	0	RNU6-689P	chr14	snRNA	RNA, U6 small nuclear 689, pseudogene
ENSG00000231054.1	0	0	0	0	2	1	2	1	AC009236.2	chr2	lincRNA	--
ENSG00000179091.4	1693	1926	1644	2783	7771	7638	6547	5311	CYC1	chr8	protein_coding	cytochrome c-1
ENSG00000256071.1	0	0	0	0	9	28	6	15	RP11-465L8.1	chr12	antisense	--
ENSG00000148248.13	2916	1793	1457	4842	14257	13425	13375	9855	SURF4	chr9	protein_coding	surfeit 4
ENSG00000281593.1	4	3	1	5	0	1	0	0	GS1-114I9.3	chr7	protein_coding	--
ENSG00000221869.4	1946	2576	9723	6193	31	44	24	16	CEBPD	chr8	protein_coding	CCAAT/enhancer binding protein (C/EBP), delta
ENSG00000211751.7	9531	7666	979	6541	31467	28133	30172	20709	TRBV25-1	chr7	TR_C_gene	T cell receptor beta variable 25-1
ENSG00000228643.1	1	0	0	0	4	5	6	4	AC079779.4	chr2	processed_transcript	--
ENSG00000239961.2	247	230	7	16	1	0	1	0	LILRA4	chr19	protein_coding	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4
ENSG00000131845.14	119	40	18	210	937	1138	1099	813	ZNF304	chr19	protein_coding	zinc finger protein 304
ENSG00000227972.1	0	0	1	0	1	2	3	1	PRKRIRP3	chr10	processed_pseudogene	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) pseudogene 3
ENSG00000166173.10	1	5	3	2	302	321	278	211	LARP6	chr15	protein_coding	La ribonucleoprotein domain family, member 6
ENSG00000214160.9	599	788	498	767	2797	2570	2740	1846	ALG3	chr3	protein_coding	ALG3, alpha-1,3- mannosyltransferase
ENSG00000254565.1	0	0	0	0	1	0	0	0	MTND2P26	chr11	processed_pseudogene	MT-ND2 pseudogene 26
ENSG00000281551.1	0	0	1	1	1	0	0	0	snoMe28S-Am2634	chr2	snoRNA	--
ENSG00000273155.1	0	0	0	1	0	0	0	0	RP11-38C17.1	chr2	protein_coding	--
ENSG00000228779.1	1	1	0	1	0	0	0	0	Z69666.2	chr16	antisense	--
ENSG00000214788.2	0	4	0	1	2	2	0	1	OOSP1	chr11	unitary_pseudogene	oocyte secreted protein 1, pseudogene
ENSG00000234806.1	0	0	0	0	0	0	1	1	RP11-9E13.4	chr10	processed_pseudogene	--
ENSG00000234504.2	1	0	0	1	0	0	0	0	RP11-285G1.2	chr10	antisense	--
ENSG00000153044.9	123	71	49	446	2065	2757	1969	1640	CENPH	chr5	protein_coding	centromere protein H
ENSG00000196933.5	2	1	0	1	0	2	1	0	RPS26P11	chrX	processed_pseudogene	ribosomal protein S26 pseudogene 11
ENSG00000107105.14	0	0	0	0	0	1	0	0	ELAVL2	chr9	protein_coding	ELAV like neuron-specific RNA binding protein 2
ENSG00000179163.11	454	259	150	754	649	697	666	450	FUCA1	chr1	protein_coding	fucosidase, alpha-L- 1, tissue
ENSG00000259239.1	2	0	1	0	0	0	0	0	RP11-521C20.1	chr15	processed_pseudogene	--
ENSG00000177138.15	3	9	4	6	3	4	2	0	FAM9B	chrX	protein_coding	family with sequence similarity 9, member B
ENSG00000183378.11	0	1	1	0	1	0	0	0	OVCH2	chr11	protein_coding	ovochymase 2 (gene/pseudogene)
ENSG00000213412.3	1	0	0	0	0	0	0	0	HNRNPA1P33	chr10	processed_pseudogene	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33
ENSG00000177294.6	0	0	1	7	4	7	5	4	FBXO39	chr17	protein_coding	F-box protein 39
ENSG00000257270.1	0	3	1	0	75	64	75	37	RP11-521B24.5	chr14	antisense	--
ENSG00000111667.13	1224	1180	449	1566	5012	4273	4806	3282	USP5	chr12	protein_coding	ubiquitin specific peptidase 5 (isopeptidase T)
ENSG00000117411.16	71	84	60	183	1120	978	986	739	B4GALT2	chr1	protein_coding	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
ENSG00000278919.1	32	53	20	8	1	0	1	0	AP006285.2	chr11	protein_coding	--
ENSG00000164715.5	490	281	575	1236	1522	1608	1810	1220	LMTK2	chr7	protein_coding	lemur tyrosine kinase 2
ENSG00000261045.2	0	0	0	0	0	1	0	0	RP11-673P17.4	chr16	lincRNA	--
ENSG00000264007.1	0	0	5	0	0	0	0	0	RP11-68I3.10	chr17	sense_intronic	--
ENSG00000261399.1	0	0	2	0	0	0	0	0	LA16c-329F2.1	chr16	antisense	--
ENSG00000166743.9	13	13	8	21	1	0	0	0	ACSM1	chr16	protein_coding	acyl-CoA synthetase medium-chain family member 1
ENSG00000165671.18	1848	1180	1122	2823	3708	4066	4505	3076	NSD1	chr5	protein_coding	nuclear receptor binding SET domain protein 1
ENSG00000186184.15	2601	3008	1356	3873	5492	5717	5628	4063	POLR1D	chr13	protein_coding	polymerase (RNA) I polypeptide D, 16kDa
ENSG00000254064.1	0	0	0	0	1	3	1	1	CTD-2530N21.4	chr8	antisense	--
ENSG00000158773.14	1852	1872	2130	2660	3244	3201	3054	2236	USF1	chr1	protein_coding	upstream transcription factor 1
ENSG00000275727.1	0	1	0	0	0	0	0	0	AC092375.1	chr16	miRNA	--
ENSG00000257831.1	0	1	0	1	2	3	0	0	RP11-596D21.1	chr14	antisense	--
ENSG00000177614.9	8	9	6	9	240	201	235	149	PGBD5	chr1	protein_coding	piggyBac transposable element derived 5
ENSG00000080561.13	26	27	3	4	0	0	2	0	MID2	chrX	protein_coding	midline 2
ENSG00000279071.1	0	0	0	0	0	1	4	0	RP11-83B20.3	chr12	TEC	--
ENSG00000263986.1	1	1	0	0	111	68	67	54	RP11-746M1.1	chr17	antisense	--
ENSG00000275410.4	0	0	0	0	0	1	0	0	HNF1B	chr17	protein_coding	HNF1 homeobox B
ENSG00000175745.11	0	0	1	0	27	31	40	31	NR2F1	chr5	protein_coding	nuclear receptor subfamily 2, group F, member 1
ENSG00000196826.7	6	2	0	4	18	14	14	14	CTD-2192J16.17	chr19	protein_coding	--
ENSG00000200345.2	0	0	0	0	0	0	1	0	RNU6-485P	chr12	snRNA	RNA, U6 small nuclear 485, pseudogene
ENSG00000230772.1	1	0	1	0	5	18	8	4	VN1R108P	chr20	unprocessed_pseudogene	vomeronasal 1 receptor 108 pseudogene
ENSG00000236274.1	0	0	0	0	0	0	0	1	RP4-728D4.3	chr1	processed_pseudogene	--
ENSG00000260619.1	1	2	0	2	2	1	0	1	RP11-775C24.3	chr15	lincRNA	--
ENSG00000135636.13	572	913	9784	6850	301	309	361	227	DYSF	chr2	protein_coding	dysferlin
ENSG00000271717.1	6	4	4	2	0	0	1	4	CTD-3020H12.4	chr19	antisense	--
ENSG00000127554.12	574	739	324	600	1995	2091	1993	1492	GFER	chr16	protein_coding	growth factor, augmenter of liver regeneration
ENSG00000273036.2	85	61	106	107	141	168	122	91	FAM95C	chr9	lincRNA	family with sequence similarity 95, member C
ENSG00000138172.10	913	609	418	736	8	8	5	4	CALHM2	chr10	protein_coding	calcium homeostasis modulator 2
ENSG00000165533.18	47	22	36	63	552	701	554	449	TTC8	chr14	protein_coding	tetratricopeptide repeat domain 8
ENSG00000166803.10	60	75	180	1080	6833	8350	6286	5408	KIAA0101	chr15	protein_coding	KIAA0101
ENSG00000159182.4	0	0	0	0	0	3	1	1	PRAC1	chr17	protein_coding	prostate cancer susceptibility candidate 1
ENSG00000234769.7	29	29	16	18	58	53	41	36	WASH4P	chr16	unprocessed_pseudogene	WAS protein family homolog 4 pseudogene
ENSG00000179930.5	0	1	0	0	1	0	1	1	ZNF648	chr1	protein_coding	zinc finger protein 648
ENSG00000251435.1	0	1	0	0	0	0	0	0	C1GALT1P2	chr5	processed_pseudogene	ore 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 pseudogene 2
ENSG00000186998.15	26	18	5	12	658	619	579	458	EMID1	chr22	protein_coding	EMI domain containing 1
ENSG00000168405.14	114	21	11	137	773	1071	909	723	CMAHP	chr6	unitary_pseudogene	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene
ENSG00000148356.13	423	614	513	475	840	738	754	504	LRSAM1	chr9	protein_coding	leucine rich repeat and sterile alpha motif containing 1
ENSG00000202198.1	922	690	416	808	78	71	88	43	RN7SK	chr6	misc_RNA	RNA, 7SK small nuclear
ENSG00000184956.15	1	0	4	2	1	0	1	0	MUC6	chr11	protein_coding	mucin 6, oligomeric mucus/gel-forming
ENSG00000100401.19	1226	1668	592	1525	11585	9808	10794	7188	RANGAP1	chr22	protein_coding	Ran GTPase activating protein 1
ENSG00000263529.2	1	4	0	0	0	0	0	0	RN7SL122P	chr1	misc_RNA	RNA, 7SL, cytoplasmic 122, pseudogene
ENSG00000248600.1	0	0	0	0	2	4	4	3	CTD-2308B18.4	chr5	lincRNA	--
ENSG00000126266.3	16	49	29	26	1	0	1	0	FFAR1	chr19	protein_coding	free fatty acid receptor 1
ENSG00000267504.1	2	2	3	0	2	2	1	0	RP11-845C23.2	chr18	sense_intronic	--
ENSG00000129083.12	1572	520	674	3033	4606	6074	4742	4203	COPB1	chr11	protein_coding	coatomer protein complex, subunit beta 1
ENSG00000144036.14	149	68	31	128	976	1197	1174	809	EXOC6B	chr2	protein_coding	exocyst complex component 6B
ENSG00000078967.12	294	256	103	226	484	552	527	390	UBE2D4	chr7	protein_coding	ubiquitin-conjugating enzyme E2D 4 (putative)
ENSG00000104976.11	427	539	347	486	1556	1419	1473	1006	SNAPC2	chr19	protein_coding	small nuclear RNA activating complex, polypeptide 2, 45kDa
ENSG00000170089.15	6	2	0	8	17	38	37	10	RP11-423H2.1	chr5	transcribed_unprocessed_pseudogene	--
ENSG00000224786.1	1	0	0	3	9	14	10	16	CETN4P	chr4	unitary_pseudogene	centrin EF-hand protein 4, pseudogene
ENSG00000266124.1	1	1	0	0	1	1	3	1	MIR5587	chr16	miRNA	microRNA 5587
ENSG00000075043.17	0	1	0	0	38	61	36	45	KCNQ2	chr20	protein_coding	potassium channel, voltage gated KQT-like subfamily Q, member 2
ENSG00000258538.5	1	0	0	0	0	0	0	0	RP11-753D20.3	chr14	lincRNA	--
ENSG00000112062.10	1505	1107	3191	4072	4665	5117	5209	3659	MAPK14	chr6	protein_coding	mitogen-activated protein kinase 14
ENSG00000257310.1	0	0	0	0	3	1	0	0	RP11-496I2.2	chr14	lincRNA	--
ENSG00000225938.1	7	14	4	8	2	1	2	0	RP4-575N6.4	chr1	antisense	--
ENSG00000245748.1	1	0	3	2	259	198	179	106	RP11-367J11.2	chr4	antisense	--
ENSG00000175701.10	155	195	164	149	833	823	717	533	LINC00116	chr2	protein_coding	long intergenic non-protein coding RNA 116
ENSG00000261783.1	3	7	1	6	10	13	14	7	RP11-252K23.2	chr16	sense_intronic	--
ENSG00000188032.9	0	0	0	0	0	2	0	0	C19orf67	chr19	protein_coding	chromosome 19 open reading frame 67
ENSG00000257480.1	0	2	0	0	0	0	0	0	MRPL2P1	chr12	processed_pseudogene	mitochondrial ribosomal protein L2 pseudogene 1
ENSG00000068001.13	98	136	195	141	1603	1556	1379	989	HYAL2	chr3	protein_coding	hyaluronoglucosaminidase 2
ENSG00000226758.1	1	4	7	1	1	0	2	0	DISC1-IT1	chr1	sense_intronic	DISC1 intronic transcript 1
ENSG00000269894.1	13	7	3	5	9	14	6	9	RP11-1020A11.1	chr3	sense_intronic	--
ENSG00000213411.2	9	38	8	5	5	2	3	4	RBM22P2	chr13	processed_pseudogene	RNA binding motif protein 22 pseudogene 2
ENSG00000188536.12	3785	10694	18408	21011	4	1	1	1	HBA2	chr16	protein_coding	hemoglobin, alpha 2
ENSG00000227743.1	0	0	0	0	0	0	0	1	RP4-745K6.1	chr7	lincRNA	--
ENSG00000166025.17	27	28	46	13	3900	4116	4260	3143	AMOTL1	chr11	protein_coding	angiomotin like 1
ENSG00000230797.2	27	27	18	33	42	50	63	28	YY2	chrX	protein_coding	YY2 transcription factor
ENSG00000276178.1	0	0	0	0	0	1	0	1	Y_RNA	chr7	misc_RNA	--
ENSG00000143375.14	8	5	1	8	1285	1267	1275	918	CGN	chr1	protein_coding	cingulin
ENSG00000229800.1	0	0	0	0	0	0	2	0	ATP8A2P2	chr13	processed_pseudogene	ATPase, aminophospholipid transporter, class I, type 8A, member 2 pseudogene 2
ENSG00000161328.10	80	90	19	43	189	193	200	101	LRRC56	chr11	protein_coding	leucine rich repeat containing 56
ENSG00000258116.1	6	5	3	8	0	0	1	0	RP11-493L12.6	chr12	processed_pseudogene	--
ENSG00000125851.9	0	0	0	0	0	2	2	0	PCSK2	chr20	protein_coding	proprotein convertase subtilisin/kexin type 2
ENSG00000207585.1	0	0	1	0	1	0	0	0	MIR181D	chr19	miRNA	microRNA 181d
ENSG00000211683.3	289	351	397	191	43	49	46	42	KB-1572G7.3	chr22	processed_transcript	--
ENSG00000229057.1	0	2	0	1	6	7	3	2	RPS3AP54	chr9	processed_pseudogene	ribosomal protein S3a pseudogene 54
ENSG00000204569.9	540	359	1022	566	2866	2602	3227	1898	PPP1R10	chr6	protein_coding	protein phosphatase 1, regulatory subunit 10
ENSG00000261396.1	2	3	0	1	12	16	9	9	CTD-2012K14.2	chr16	antisense	--
ENSG00000255875.2	0	0	0	0	0	2	0	0	CTD-2102P23.1	chr19	processed_pseudogene	--
ENSG00000163995.18	12	16	2	18	67	66	62	60	ABLIM2	chr4	protein_coding	actin binding LIM protein family, member 2
ENSG00000232294.5	0	0	1	0	0	0	0	0	RP4-715N11.2	chr20	lincRNA	--
ENSG00000235859.5	534	512	361	862	86	122	120	70	AC006978.6	chr7	processed_pseudogene	--
